title_id;title;type;release_year;age_certification;runtime;genres;production_countries;imdb_id;imdb_score;imdb_votes;seasons
tm159912;Agneepath;MOVIE;1990;Unknown;174;['action', 'crime', 'drama'];['IN'];tt0098999;76;89020;0
tm133914;Parrot Sketch Not Included: Twenty Years of Monty Python;MOVIE;1989;Unknown;72;['comedy'];['GB'];tt0213984;81;15220;0
tm38736;Too Young The Hero;MOVIE;1988;Unknown;100;['drama', 'war'];['US'];tt0096286;67;4940;0
tm258072;Adam: His Song Continues;MOVIE;1986;Unknown;100;['crime', 'drama'];['US'];tt0090589;70;2090;0
tm52815;Disco Dancer;MOVIE;1982;Unknown;134;['drama', 'romance'];['IN'];tt0208903;65;14490;0
tm137013;The Ryan White Story;MOVIE;1989;Unknown;102;['drama'];['US'];tt0098237;72;8570;0
tm157853;In Defense of a Married Man;MOVIE;1990;Unknown;94;['drama', 'crime'];['US'];tt0099833;56;2000;0
tm157603;Dil;MOVIE;1990;Unknown;172;['romance', 'comedy', 'drama'];['IN'];tt0099429;66;52730;0
tm45720;Bye Bye London;MOVIE;1982;Unknown;170;['comedy', 'drama'];['KW'];tt10130668;87;1540;0
tm55091;Quiet Victory: The Charlie Wedemeyer Story;MOVIE;1988;Unknown;100;['drama'];['US'];tt0095945;71;1440;0
tm151332;Alexandria, Again and Forever;MOVIE;1989;Unknown;105;['drama'];['EG', 'FR'];tt0099858;65;6430;0
tm24110;Strange Voices;MOVIE;1987;Unknown;100;['drama'];['US'];tt0094052;63;3570;0
tm348735;Aakhri Adaalat;MOVIE;1988;Unknown;148;['action', 'crime', 'thriller'];['IN'];tt0177505;51;920;0
tm51083;A Stoning in Fulham County;MOVIE;1988;Unknown;120;['crime', 'drama', 'thriller'];['US'];tt0096179;58;3800;0
tm126791;The Married Couples;MOVIE;1981;Unknown;194;['drama'];['EG'];;;;0
tm186777;Sayed The Servant;MOVIE;1985;Unknown;166;['comedy'];['EG'];;;;0
tm311264;Muqaddar Ka Faisla;MOVIE;1987;Unknown;172;['comedy', 'drama', 'family', 'action'];['IN'];tt0239682;48;680;0
tm172482;Sohni Mahiwal;MOVIE;1984;Unknown;160;['romance', 'action', 'drama'];['IN'];tt0807047;61;2970;0
tm52274;The Little Wars;MOVIE;1982;Unknown;108;['drama', 'war', 'european'];['FR', 'LB'];tt0084492;63;1490;0
tm132164;Bill Hicks: Sane Man;MOVIE;1989;R;81;['comedy'];['US'];;;;0
tm342996;Duniya;MOVIE;1984;Unknown;170;['drama', 'action'];['IN'];tt0301231;62;2410;0
ts63001;High Risk;SHOW;1988;TV-PG;50;['comedy'];['US'];tt0094478;38;60;10
tm411457;Pyar Ke Do Pal;MOVIE;1986;Unknown;153;['drama', 'action'];['IN'];tt0358053;61;650;0
tm371359;Jaal;MOVIE;1986;Unknown;159;['drama', 'thriller', 'action'];['IN'];tt0239495;52;1220;0
tm446654;Mujrim;MOVIE;1989;Unknown;162;['drama', 'action', 'crime'];['IN'];tt0097926;54;1880;0
tm47673;An Egyptian Story;MOVIE;1982;Unknown;129;['fantasy', 'drama'];['EG'];tt0084042;73;11130;0
tm419052;Ek Jaan Hain Hum;MOVIE;1983;Unknown;151;['family', 'romance'];['IN'];tt0379272;63;700;0
tm11556;The Quick and the Dead;MOVIE;1995;R;107;['western', 'thriller', 'action', 'romance'];['US', 'JP'];tt0114214;65;922240;0
ts20981;Survivor;SHOW;2000;TV-PG;48;['reality'];['US'];tt0239195;74;243680;420
ts22176;Stargate SG-1;SHOW;1997;TV-PG;44;['scifi', 'drama', 'action'];['US', 'CA'];tt0118480;84;901960;100
ts21223;Pokémon;SHOW;1997;TV-Y7;22;['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family'];['JP'];tt0168366;76;1720;240
tm122434;Forrest Gump;MOVIE;1994;PG-13;142;['drama', 'romance', 'comedy'];['US'];tt0109830;88;19945990;0
tm106462;Happy Gilmore;MOVIE;1996;PG-13;92;['comedy', 'sport'];['US'];tt0116483;70;2175340;0
ts20339;One Piece;SHOW;1999;TV-14;23;['action', 'comedy', 'animation', 'drama', 'fantasy'];['JP'];tt0388629;88;1125860;210
tm57554;Saving Private Ryan;MOVIE;1998;R;169;['drama', 'war'];['US'];tt0120815;86;13460200;0
ts34435;Cowboy Bebop;SHOW;1998;TV-14;25;['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama'];['JP'];tt0213338;89;1128870;10
ts20927;Star Trek: Deep Space Nine;SHOW;1993;TV-PG;47;['scifi', 'action', 'drama'];['US'];tt0106145;81;611450;70
ts5145;The Challenge;SHOW;1998;TV-14;40;['reality', 'comedy', 'drama', 'scifi'];['US'];tt0176095;78;32740;370
tm192405;Gattaca;MOVIE;1997;PG-13;106;['thriller', 'drama', 'scifi'];['US'];tt0119177;78;2981680;0
ts21567;Gilmore Girls;SHOW;2000;TV-14;46;['comedy', 'drama'];['US'];tt0238784;82;1190540;80
